Bore Name,Bore ID,Basin,GDA94 Lat,GDA94 Long,Heat Flow (mWm-2),Error (± mWm-2),Confidence Rating,Depth logged (m),Source,,,,
Faramir 1,,Arrowie,207378.684591428,6464256.24116347,67,,UNKNOWN,443,Matthews 2009,,,,
Gandalf 1,,Arrowie,231881.56180353,6533223.93040799,95,2,UNKNOWN,585,Matthews 2009,,,,
Gollum 1,,Arrowie,247130.07394134,6551121.85099993,106,2,UNKNOWN,501,Matthews 2009,,,,
Joshua 1,,Adelaide Fold Belt,299281.808465015,6192375.25681752,67,0.3,UNKNOWN,400,Matthews 2009,,,,
Melkor 1,,Arrowie,227627.470416925,6549188.92940537,115,1.5,UNKNOWN,0,Matthews 2009,,,,
Miriam 1,,Adelaide Fold Belt,281538.930007378,6316837.45527861,61,0.2,UNKNOWN,342,Matthews 2009,,,,
Nazgul 1,,Arrowie,228172.477041753,6558637.81479914,120,1,UNKNOWN,600,Matthews 2009,,,,
Norbert 1,,Stansbury,227013.561275306,6310129.50973668,74,1,UNKNOWN,414.6,Matthews 2009,,,,
Olivia 1,,Adelaide Fold Belt,298036.207585653,6217405.34183545,75,0.6,UNKNOWN,351,Matthews 2009,,,,
Raitaro 1,,Stansbury,242403.004029012,6219679.99528693,75,7.4,UNKNOWN,403,Matthews 2009,,,,
Rinjin 1,,Stansbury,254127.527643986,6198985.62969371,72,1,UNKNOWN,297,Matthews 2009,,,,
Sauron 1,,Arrowie,231048.640564471,6546897.5892849,120,1,UNKNOWN,375,Matthews 2009,,,,
Shelob 1,,Arrowie,208948.762702934,6452885.13818683,61,5,UNKNOWN,321,Matthews 2009,,,,
Smrgol 1,,Stansbury,243097.09099282,6250452.66136036,91,7,UNKNOWN,297.2,Matthews 2009,,,,
Theoden 2,,Arrowie,200949.866406461,6395841.62128175,101,4.1,UNKNOWN,372,Matthews 2009,,,,
Thorin 1,,Arrowie,201235.813243083,6402386.63135767,93,2,UNKNOWN,363,Matthews 2009,,,,
TKHD1A,,Arrowie,202299.398719969,6453462.92812741,96,1.8,UNKNOWN,1002,Matthews 2009,,,,
Torrens 1,,Arrowie,221583.000028127,6488846.00014506,82,,UNKNOWN,770,Matthews 2009,,,,
Treebeard 1A,,Arrowie,235648.06053938,6545421.99966222,91,,UNKNOWN,1807,Matthews 2009,,,,
Uwibami 1,,Stansbury,265451.997370246,6218931.99823713,77,1,UNKNOWN,300,Matthews 2009,,,,
Balnaves 1,,Otway Basin,473859.919452169,5855457.54054601,69,6,UNKNOWN,,Matthews & Beardsmore 2007,,,,
BKR 1,,Mount Lofty Ranges,332233.148966121,6069134.69920454,89,17,UNKNOWN,,Matthews & Beardsmore 2007,,,,
Bool Lagoon 1,,Otway Basin,467468.472194469,5888985.97173978,88,7,UNKNOWN,,Matthews & Beardsmore 2007,,,,
Camelback 1,,Otway Basin,427974.784600409,5893379.53882061,99,9,UNKNOWN,,Matthews & Beardsmore 2007,,,,
CLS 13,,Otway Basin,456784.722764218,5873735.66999124,58,12,UNKNOWN,,Matthews & Beardsmore 2007,,,,
CMM 82,,Otway Basin,490716.228023016,5879298.9491162,65,3,UNKNOWN,,Matthews & Beardsmore 2007,,,,
Crankshaft 1,,Otway Basin,435748.74837548,5876312.66516599,70,6,UNKNOWN,,Matthews & Beardsmore 2007,,,,
CRC 1,,Pathaway Ridge,409109.14819427,6064123.32762608,68,1,UNKNOWN,,Matthews & Beardsmore 2007,,,,
FID 1,,Pathaway Ridge,378709.551931757,6019035.1640688,75,12,UNKNOWN,,Matthews & Beardsmore 2007,,,,
JOA 11,,Otway Basin,482633.102505336,5889370.33701996,58,2,UNKNOWN,,Matthews & Beardsmore 2007,,,,
JOY 19,,Otway Basin,446197.380391227,5898707.51647189,79,4,UNKNOWN,,Matthews & Beardsmore 2007,,,,
KLN 10,,Otway Basin,473941.391856663,5874400.0715707,62,1,UNKNOWN,,Matthews & Beardsmore 2007,,,,
Lucindale 1,,Otway Basin,438709.035406442,5894521.68209416,123,10,UNKNOWN,,Matthews & Beardsmore 2007,,,,
Nunga Mia 1,,Otway Basin,395895.217316921,5888296.71709266,64,5,UNKNOWN,,Matthews & Beardsmore 2007,,,,
PNN 3,,Pathaway Ridge,478018.337305176,6062779.99169011,64,3,UNKNOWN,,Matthews & Beardsmore 2007,,,,
ROB 11,,Otway Basin,466475.041102473,5892405.62745262,98,22,UNKNOWN,,Matthews & Beardsmore 2007,,,,
SHG 6,,Pathaway Ridge,480496.38781866,6037641.41355898,73,3,UNKNOWN,,Matthews & Beardsmore 2007,,,,
SPE 13,,Otway Basin,452960.326521423,5896612.2743315,87,6,UNKNOWN,,Matthews & Beardsmore 2007,,,,
St Clair 1,,Otway Basin,415444.255584268,5864481.40942976,77,6,UNKNOWN,,Matthews & Beardsmore 2007,,,,
STR 130,,Pathaway Ridge,439130.719449461,5997479.44513153,42,2,UNKNOWN,,Matthews & Beardsmore 2007,,,,
TAT 27,,Pathaway Ridge,490804.324620373,5974200.58914407,79,1,UNKNOWN,,Matthews & Beardsmore 2007,,,,
Viewbank 1,,Otway Basin,478652.813408056,5869002.57215698,72,6,UNKNOWN,,Matthews & Beardsmore 2007,,,,
Wanda 1,,Otway Basin,430829.474738549,5912725.73601657,99,8,UNKNOWN,,Matthews & Beardsmore 2007,,,,
WRG 31,,Pathaway Ridge,470844.733326185,5976647.75404633,68,3,UNKNOWN,,Matthews & Beardsmore 2007,,,,
11004,,Boulia,258801.715976999,7491590.52371816,68,4,UNKNOWN,1311,Kirkby & Gerner 2013,,,,
CP018,,Pine Creek,-546410.298156302,8482831.90590591,76,14,UNKNOWN,357.3,Kirkby & Gerner 2013,,,,
HDD131,,Yorke Peninsula,213157.487466718,6173117.90357085,98,10,UNKNOWN,504.9,Kirkby & Gerner 2013,,,,
HDD162,,Yorke Peninsula,213544.172211104,6173688.46580451,90,3,UNKNOWN,748.7,Kirkby & Gerner 2013,,,,
HDD180,,Yorke Peninsula,212693.848864177,6172896.97514075,98,20,UNKNOWN,368.4,Kirkby & Gerner 2013,,,,
K-106C,,Mt Isa,392304.153969675,7671643.34238717,61,5,UNKNOWN,828,Kirkby & Gerner 2013,,,,
VB12_003,,Pine Creek,-463730.872596022,8418142.73076607,72,3,UNKNOWN,513.6,Kirkby & Gerner 2013,,,,
VB12_010,,Pine Creek,-463445.820875848,8419173.50600509,67,3,UNKNOWN,504.9,Kirkby & Gerner 2013,,,,
Broken Hill,,Willyama Inliers,544418.307267103,6465009.9990779,80,,UNKNOWN,,Howard & Sass 1964,,,,
Bendigo St,,Adelaide Fold Belt,357390.270871401,6325497.92001412,64,,UNKNOWN,,Cull 1982,,,,
Bute,,Eastern Gawler Craton,224337.501840571,6248260.64845488,88,,UNKNOWN,,Cull 1982,,,,
Bute,,Eastern Gawler Craton,219907.170940836,6241469.16927141,87,,UNKNOWN,,Cull 1982,,,,
Carrieton,,Adelaide Fold Belt,263371.995034426,6395797.41219327,92,,UNKNOWN,,Cull 1982,,,,
Ediacara,,Adelaide Fold Belt,223860.383680989,6611192.05395299,96,,UNKNOWN,,Cull 1982,,,,
Iron Knob,,Eastern Gawler Craton,137227.670994481,6373124.63655467,109,,UNKNOWN,,Cull 1982,,,,
Kadina,,Eastern Gawler Craton,199703.13258329,6236408.40067996,101,,UNKNOWN,,Cull 1982,,,,
Kanmantoo,,Adelaide Fold Belt,340456.691428374,6116684.62745325,88,,UNKNOWN,,Cull 1982,,,,
Maralinga,,Western Gawler Craton,-407080.284728064,6624768.96295023,54,,UNKNOWN,,Cull 1982,,,,
Mootooroo,,Willyama Inliers,493406.128468515,6431850.9963243,68,,UNKNOWN,,Cull 1982,,,,
Mount Gambier,,South East South Australia,490309.598831107,5821916.71408586,91.8,,UNKNOWN,,Cull 1982,,,,
Mount McTagga,,Adelaide Fold Belt,336771.990718789,6630121.86339609,101,,UNKNOWN,,Cull 1982,,,,
Parabarana Hill,,Mount Painter Province,376517.034467418,6682741.49174867,126,,UNKNOWN,,Cull 1982,,,,
Stockyard,,Adelaide Fold Belt,298668.804466002,6150257.62876993,88,,UNKNOWN,,Cull 1982,,,,
Tarcoola,,Western Gawler Craton,-123623.689169659,6594444.34749039,49,,UNKNOWN,,Cull 1982,,,,
Whyalla,,Eastern Gawler Craton,173590.968560074,6324407.85096678,91,,UNKNOWN,,Cull 1982,,,,
Wokurna,,Eastern Gawler Craton,233125.336792253,6265163.82176769,91,,UNKNOWN,,Cull 1982,,,,
Wudinna,,Western Gawler Craton,-9546.091915917,6337714.2698057,58,,UNKNOWN,,Cull 1982,,,,
