Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites
9.688,-86.872,,,,,,,,,,37,1
8.79,-87.196,,,,,,,0.75,,,36,1
9.275,-86.765,,,,,,,,,,36,1
9.574,-86.761,,,,,,,,,,36,1
9.681,-86.866,,,,,,,,,,36,1
8.626,-85.878,,,,,,,,,,35,1
9.181,-86.369,,,,,,,,,,35,1
9.431,-86.925,,,,,,,,,,35,1
9.547,-86.261,,,,,,,,,,35,1
9.611,-86.797,,,,,,,,,,35,1
9.476,-86.994,,,,,,,,,,35,1
8.834,-87.155,,,,,,,,,,34,1
9.341,-86.206,,,,,,,,,,34,1
9.599,-86.785,,,,,,,,,,34,1
9.669,-86.854,,,,,,,,,,34,1
9.866,-86.355,,,,,,,0.75,,,33,1
9.549,-86.259,,,,,,,,,,33,1
9.65,-86.835,,,,,,,,,,33,1
9.474,-86.996,,,,,,,,,,33,1
8.781,-87.152,,,,,,,,,,32,1
9.074,-87.106,,,,,,,,,,32,1
9.122,-86.99,,,,,,,,,,32,1
9.587,-86.772,,,,,,,,,,32,1
8.835,-87.209,,,,,,,,,,31,1
8.537,-85.904,,,,,,,0.75,,,30,1
9.193,-86.38,-3111,2,11,4,,,,,,30,1
8.601,-87.259,,,,,,,,,,29,1
9.317,-86.806,,,,,,,,,,29,1
8.841,-87.148,,,,,,,,,,28,1
9.204,-86.391,,,,,,,,,,28,1
9.285,-86.774,,,,,,,,,,28,1
9.297,-86.787,,,,,,,,,,28,1
9.443,-86.937,,,,,,,,,,28,1
8.59,-87.25,,,,,,,,,,27,1
8.847,-87.143,,,,,,,,,,27,1
9.328,-86.819,,,,,,,,,,27,1
8.627,-85.879,,,,,,,,,,26,1
9.055,-87.12,,,,,,,,,,26,1
9.306,-86.798,,,,,,,,,,26,1
9.326,-86.19,,,,,,,,,,26,1
9.337,-87.142,,,,,,,,,,26,1
9.534,-86.275,,,,,,,,,,25,1
9.071,-87.109,,,,,,,,,,24,1
9.57,-86.239,,,,,,,,,,24,1
9.572,-86.237,,,,,,,,,,24,1
8.842,-87.216,,,,,,,,,,23,1
9.063,-87.114,,,,,,,,,,23,1
9.338,-86.831,,,,,,,,,,23,1
9.509,-86.299,,,,,,,,,,23,1
8.848,-87.222,,,,,,,,,,22,1
9.521,-86.287,,,,,,,,,,22,1
8.86,-87.236,,,,,,,,,,21,1
9.037,-86.955,,,,,,,,,,21,1
9.558,-86.251,,,,,,,,,,21,1
9.57,-86.239,,,,,,,,,,21,1
8.854,-87.229,,,,,,,,,,20,1
8.867,-87.242,,,,,,,,,,20,1
9.121,-86.995,,,,,,,,,,20,1
9.592,-86.217,,,,,,,,,,19,1
8.628,-85.88,,,,,,,,,,18,1
9.356,-86.841,,,,,,,,,,18,1
9.362,-86.853,,,,,,,,,,18,1
9.308,-86.172,,,,,,,,,,17,1
9.086,-86.954,,,,,,,,,,16,1
9.373,-86.866,,,,,,,,,,16,1
8.698,-86.169,,,,,,,,,,15,1
8.791,-87.163,,,,,,,,,,15,1
9.33,-87.147,,,,,,,,,,15,1
9.081,-87.084,,,,,,,,,,14,1
9.088,-86.954,,,,,,,,,,14,1
9.083,-87.08,,,,,,,,,,13,1
9.323,-87.152,,,,,,,,,,13,1
9.418,-86.915,,,,,,,,,,13,1
9.598,-86.208,,,,,,,,,,13,1
8.631,-85.883,,,,,,,,,,12,1
9.046,-86.955,,,,,,,,,,12,1
9.581,-86.227,,,,,,,,,,12,1
9.073,-86.955,,,,,,,,,,11,1
9.081,-86.955,,,,,,,,,,11,1
9.085,-87.075,,,,,,,,,,11,1
9.084,-86.954,,,,,,,,,,10,1
9.087,-87.071,,,,,,,,,,10,1
9.09,-86.954,,,,,,,,,,10,1
9.093,-86.954,,,,,,,,,,10,1
9.095,-87.053,,,,,,,,,,10,1
8.638,-85.889,,,,,,,,,,9,1
9.089,-87.066,,,,,,,,,,9,1
9.091,-86.954,,,,,,,,,,9,1
9.093,-87.057,,,,,,,,,,9,1
9.097,-87.049,,,,,,,,,,9,1
9.312,-86.176,,,,,,,,,,9,1
9.089,-86.954,,,,,,,,,,8,1
9.091,-87.062,,,,,,,,,,8,1
9.113,-87.012,,,,,,,,,,8,1
9.315,-86.18,,,,,,,,,,8,1
9.368,-86.233,,,,,,,,,,8,1
8.634,-85.885,,,,,,,,,,7,1
8.637,-85.888,,,,,,,,,,7,1
8.638,-85.888,,,,,,,,,,7,1
8.639,-85.89,,,,,,,,,,7,1
9.092,-86.954,,,,,,,,,,7,1
9.314,-86.178,,,,,,,,,,7,1
8.791,-87.164,,,,,,,,,,6,1
9.055,-86.955,,,,,,,,,,6,1
9.115,-87.008,,,,,,,,,,6,1
9.117,-87.004,,,,,,,,,,6,1
9.343,-86.208,,,,,,,,,,6,1
9.375,-86.24,,,,,,,,,,6,1
9.064,-86.955,,,,,,,,,,5,1
9.315,-86.179,,,,,,,,,,5,1
9.355,-86.22,,,,,,,,,,4,1
9.346,-86.21,,,,,,,,,,3,1
9.349,-86.213,,,,,,,,,,3,1
9.362,-86.227,,,,,,,,,,3,1
8.639,-86.11,,,,,,,,,,,1
8.777,-87.208,,,,,,,,,,,1
8.777,-87.208,,,,,,,,,,,1
8.783,-87.202,,,,,,,,,,,1
8.784,-87.202,,,,,,,,,,,1
8.784,-87.202,,,,,,,,,,,1
9.083,-87.099,,,,,,,,,,,1
9.119,-86.999,,,,,,,,,,,1
9.351,-86.844,,,,,,,,,,,1
7.0667,-77.5333,21,91,262,,18,,1.6,,,29,1
7.0833,-77.4333,29,70,107,,17,,1.69,,,29,1
7.1,-77.4,27,116,293,,18,,1.55,,,28,1
-5.39,11.4583,-550,7,11,8,56,,1.1,,,62,1
-5.39,11.45,-502,7,11,8,50,,0.95,,,48,1
-5.3933,11.4583,-557,7,9,7,48,,0.78,,,37,1
20.0433,-76.9417,134,135,251,,29,5,2.7,,,77,
22.0217,-78.99,167,730,990,,25,7,2.7,,,67,
21.9583,-78.9633,140,200,390,,24,,2.75,,,65,
22.035,-78.9717,175,280,570,,24,7,2.7,,,64,
21.9583,-78.9633,140,200,490,,24,,2.75,,,64,
21.9583,-78.9633,140,280,490,,23,,2.75,,,63,
22.0067,-78.9383,170,130,990,,23,7,2.7,,,62,
20.0433,-76.9417,146,190,303,,23,7,2.6,,,60,
21.9083,-79.1583,115,220,490,,28,,2.1,,,59,1
22.0433,-79.1217,117,130,420,,40,3,1.3,,,53,
21.9567,-79.14,105,150,380,,39,,1.32,,,52,1
20.0433,-76.9417,167,160,501,,19,15,2.6,,,50,
22.0433,-79.1167,117,140,380,,36,3,1.3,,,46,
20.0433,-76.9417,95,170,295,,13,8,3.2,,,46,
22.55,-84.1667,,150,550,,15,3,2.9,,,45,
20.185,-74.78,260,90,120,,16,6,2.7,,,42,
20.1617,-74.78,280,110,120,,15,5,2.6,,,41,
22.3733,-78.7717,2,150,420,,7,3,5.7,,,41,
22.6667,-83.9583,,100,185,,10,11,4.1,,,39,
23.1017,-81.3133,20,220,480,,30,,1.22,,,37,
23.1017,-81.3133,20,150,480,,30,,1.22,,,37,
22.3683,-78.7683,1,170,490,,6,3,5.7,,,37,
23.1883,-82.0267,3,200,830,,22,,1.61,,,36,1
23.18,-82.05,3,230,820,,22,6,1.6,,,35,
23.1833,-82.0483,3,170,940,,22,6,1.6,,,35,
23.0983,-81.2567,18,150,500,,28,,1.22,,,34,1
19.9983,-75.6833,220,130,198,,16,11,2.1,,,34,
19.9867,-75.665,285,140,180,,14,2,2.4,,,34,
20.1633,-74.775,390,120,170,,13,4,2.8,,,33,
23.0833,-81.3167,5,110,1490,,25,5,1.2,,,30,
21.0367,-77.36,82,113,207,,11,6,2.8,,,30,
23.18,-82.0883,5,250,500,,18,,1.61,,,29,1
21.5267,-77.8867,116,120,230,,20,5,1.4,,,27,
22.5683,-83.9433,109,150,430,,,,4.21,,,,
22.5683,-83.9433,112,150,270,,,,4.02,,,,
34.8167,32.4667,194,184,215,11,32,,1.43,,,46,1
35.1,32.9667,185,79,148,23,28,6,1.41,,,40,1
35.1,32.9167,301,47,98,17,25,,1.47,,,37,1
35.05,33.2,353,85,114,10,21,5,1.59,,,34,1
34.7833,33.2667,143,97,158,22,23,4,1.35,,,32,1
35.0667,33.2167,332,60,167,35,23,9,1.38,,,32,1
35.0667,33.2167,332,38,177,45,52,13,1.38,,,30,1
35.0833,33,243,85,120,12,22,6,1.28,,,28,1
34.7833,33.2667,144,84,152,22,22,4,1.26,,,28,1
35,33.5667,73,49,205,100,19,19,1.44,,,28,1
35.2333,33.75,40,43,179,44,18,11,1.6,,,28,1
34.9667,33.3333,165,32,95,22,14,,1.46,,,22,1
35.1167,33.3167,231,33,119,45,14,2,1.46,,,21,1
34.9,32.5667,82,38,304,,,,,,,19,1
34.8333,32.5667,82,38,304,85,13,22,1.47,,,19,1
34.5833,32.95,19,22,135,69,11,13,1.83,,,19,1
34.8833,32.35,66,62,290,60,9,17,2.01,,,18,1
34.65,32.9,31,142,231,29,9,12,1.99,,,18,1
34.6667,32.9333,72,190,256,22,10,4,1.82,,,17,1
34.6667,32.95,74,228,307,22,9,7,1.96,,,17,1
34.8833,32.5167,130,69,139,27,9,3,1.51,,,13,1
35.2333,32.9333,7,38,84,30,7,4,1.85,,,13,1
35,32.4333,68,63,147,54,8,,1.43,,,12,1
34.9,32.35,69,161,234,24,8,,1.43,,,11,1
35.3167,33.5833,481,79,183,29,4,,3.14,,,11,1
35.2167,32.9333,9,62,85,16,6,,1.63,,,10,1
35.3,33.5667,519,63,136,10,2,,3.14,,,7,1
35.2333,32.9333,6,38,69,21,4,4,1.5,,,6,1
35.2833,33.4333,310,83,150,23,2,6,2.75,,,6,1
34.65,32.95,43,54,177,40,2,13,1.97,,,5,1
35.1167,32.3833,180,95,399,97,22,24,1.43,,,,1
35.2167,32.95,5,25,85,39,15,9,1.63,,,,1
35,32.45,94,25,103,50,14,9,1.43,,,,1
35.0333,32.4667,158,19,128,70,9,,3.9,,,,1
50.6333,13.8483,193,40,110,,70,1,2.64,,,185,1
50.6433,13.8217,224,130,140,,57,1,2.76,,,158,1
50.435,12.8683,887,20,440,43,39,11,3.06,,,121,
48.6017,22.0583,104,2200,3150,,49,9,1.94,,,113,1
48.6167,22.0467,101,1700,2800,,46,8,2.34,,,113,1
48.4883,18.92,601,400,690,30,41,62,2.64,,,108,1
48.3833,21.7333,,,,,,,,,,108,1
50.4367,12.87,911,50,560,42,40,7,2.65,,,107,
50.4167,12.9167,990,20,200,19,33,3,3.07,,,106,
50.6917,13.7817,449,40,180,,41,1,2.59,,,105,1
48.4233,18.7783,538,60,570,52,34,68,3.05,,1.3,105,
50.4333,12.845,834,60,250,20,43,5,2.41,,,104,
48.4917,22.07,100,1650,2400,,46,2,2.14,,,103,1
48.4267,18.7817,635,600,890,30,33,49,3.09,,2.01,103,
48.4217,18.78,602,460,760,31,34,53,2.94,,,100,
48.385,18.69,375,800,1200,40,37,52,2.63,,2.17,98,1
50.3367,14.58,190,40,102,7,37,,2.53,,,97,1
50.125,12.8017,640,105,220,24,33,4,2.89,53,8.4,96,1
48.4183,18.7783,547,600,900,31,32,56,2.99,,,96,
50.2717,14.7117,228,30,140,,45,2,1.82,,,96,1
50.1683,16.0933,273,30,590,,38,2,2.72,,,96,1
48.3733,21.73,98,300,700,41,40,9,2.37,,,94,1
50.4167,12.9167,1000,30,480,46,37,10,2.41,,,93,
49.54,18.2533,455,1100,1200,,34,5,2.98,,,92,1
50.3367,14.58,190,132,280,15,40,,2.26,,,90,1
50.0983,12.7133,726,60,140,9,31,8,2.83,,,89,1
49.5583,18.3817,395,1030,1790,,36,85,2.76,,,88,1
47.9283,18.04,111,0,3050,32,41,,2.11,,,87,1
50.64,13.8283,215,390,860,48,35,19,2.46,,,87,1
50.4167,12.9167,980,20,310,30,36,6,2.31,,,86,
48.4333,18.6833,239,750,960,21,35,39,2.4,,1.46,85,1
49.5083,18.34,526,1300,2200,,37,,2.25,,,84,1
50.7333,13.7667,842,240,770,,36,6,2.34,458,7.3,84,1
50.4183,12.9,993,20,430,42,37,9,2.28,,,83,
48.73,18.92,777,660,1160,50,27,26,3.09,,1.18,83,1
48.1833,17.3833,,,,,,,,,,83,1
48.765,22.1983,145,0,823,10,38,12,2.19,,,82,1
50.36,14.5783,212,100,620,,35,5,2.31,,,81,1
47.9767,17.79,112,0,2503,26,40,23,2.02,,,81,1
50.5583,15.4217,368,10,1040,,36,27,2.41,,,81,1
50.25,14.1,285,600,1030,44,35,11,2.33,,,81,1
48.0333,17.95,110,0,2500,26,41,25,1.97,,,80,1
48.7,19.0333,945,380,760,39,27,27,2.94,,,80,1
48.855,18.0917,432,110,1000,90,26,22,3.08,,1.07,80,1
50.4867,14.15,150,120,1250,,32,16,2.51,,,80,1
50.2933,14.8067,243,100,500,,31,3,3.54,,,79,1
48.1833,17.7833,117,0,2101,22,41,8,1.94,,,79,
47.9167,17.6833,110,0,2800,57,39,44,2.01,,,79,1
49.5267,18.31,531,1300,1500,,39,5,3.16,,,79,1
49.595,18.2817,412,1000,1900,,31,9,2.54,,,79,1
49.8067,18.5283,249,700,2600,,30,41,2.99,,,79,1
49.5833,18.41,516,1100,1600,,29,14,2.94,,,79,1
50.5667,15.4,355,360,880,53,29,17,2.76,,,79,1
50.385,14.5483,234,100,1080,,32,10,2.47,,,79,1
47.85,17.7667,110,0,2500,26,38,,2.06,,,78,1
47.9833,18.1667,115,0,1506,16,42,7,1.81,,,77,1
48.1,18.0667,115,0,2406,25,41,34,1.87,,,77,1
49.565,18.2867,535,1000,1200,,37,10,3.25,,,77,1
49.18,17.3717,429,500,1200,93,35,6,1.67,,,76,1
48.29,18.6783,203,500,700,21,45,39,1.68,,1.18,76,1
47.9,17.5833,115,0,2582,27,39,21,1.92,,,76,1
48.135,17.785,115,0,2000,21,38,,1.99,,,76,1
48.205,17.6767,121,0,1990,21,38,20,1.98,,,76,
47.9833,18.2667,125,0,2500,26,40,27,1.88,,,75,1
47.985,17.6183,115,0,2500,26,39,,1.93,,,75,1
49.2183,18.0517,434,300,2420,,21,30,3.53,,,75,1
50.3367,14.58,190,102,132,3,22,,3.33,,,74,1
48.1833,17.7667,117,0,2102,22,41,,1.81,,,74,
49.5133,18.255,602,1200,1400,,41,11,8.86,,,74,1
48.0333,17.5,120,0,2500,26,40,35,1.85,,,74,1
49.5233,18.2233,473,1100,1400,,39,7,3.24,,,74,1
50.3283,13.9817,334,120,1250,,33,18,2.26,,,74,1
49.5733,18.33,468,900,1500,,33,11,2.64,,,73,1
49.525,18.14,508,1000,1400,,32,14,2.6,,,73,1
50.7267,13.765,859,20,420,43,26,14,2.82,,,73,1
50.615,14.1717,448,280,430,,36,2,1.95,,,72,1
48.2,17.435,124,0,1499,16,39,7,1.86,,,72,1
49.5067,18.235,578,1200,1500,,37,8,2.94,,,72,1
49.5683,18.2483,370,1000,1600,,35,12,2.16,,,72,1
50.4167,12.9167,975,10,80,8,35,2,2.11,,,72,
49.5433,18.305,557,1100,1600,,35,9,2.32,,,72,1
49.5167,18.2083,460,900,1400,,34,10,2.32,,,72,1
48.8333,16.5667,200,90,1140,,27,1,2.61,,,72,1
49.5667,17.8833,334,400,1300,,25,13,3.41,,,72,1
49.5667,17.8833,334,440,1220,,25,13,3.24,,,72,1
49.4983,13.5333,470,10,1150,,23,31,3.17,,,72,1
47.9667,17.8,,,,,,,,,,72,1
50.425,14.6533,347,240,880,,31,4,2.37,,,72,1
48.8867,22.1783,683,100,978,,34,25,2.12,,,71,1
49.7167,15.85,600,100,870,,22,5,3.27,,,71,1
49.5283,18.2567,489,1100,1300,,37,5,2.19,,,71,1
49.6017,18.2533,383,800,1800,,29,18,3.12,,,71,1
49.47,18,307,200,2800,,27,24,2.68,,,71,1
49.2033,17.86,394,100,4000,,26,46,3.01,,,71,1
50.1067,12.4133,437,20,860,67,25,14,2.94,,,71,1
49.5583,18.3817,395,1800,1970,,22,,3.19,,,71,1
50.415,14.365,208,100,1280,,28,16,2.53,,,70,1
48.2167,17.4,125,0,2540,26,36,,1.94,,,70,
49.5033,18.19,550,1200,1600,,33,9,2.72,,,70,1
49.34,17.6883,381,1600,1900,,31,11,2.18,,,70,1
49.6333,18.7333,,600,1300,,29,9,2.19,,,70,1
50.5167,15.6667,365,60,710,54,28,22,2.49,,,70,1
49.8833,12.7,500,80,180,13,24,6,2.92,,,69,1
50.1617,15.3233,238,90,480,,24,8,3.02,,,69,1
48.55,17.2167,230,0,1243,13,43,3,1.62,,,69,
48.2167,17.3833,130,0,1350,15,39,7,1.79,,,69,
48.0167,17.3167,125,0,2500,26,36,27,1.98,,,69,1
49.535,18.285,454,1000,1400,,33,20,2.73,,,69,1
49.55,18.24,443,1000,2200,,32,20,2.42,,,69,1
50.5083,16.13,532,10,1080,,26,15,3.09,,,69,
48.4283,17.71,150,0,1000,11,45,,1.51,,,68,1
49.5233,18.175,570,1000,1300,,33,10,2.58,,,68,1
49.91,18.375,199,900,1700,,33,8,2.46,,,68,1
49.5283,18.1883,489,600,900,,31,5,2.39,,,68,1
49.3833,17.95,,2900,5300,,29,25,3.21,,,68,1
50.9167,14.8667,393,120,590,48,21,7,3.04,,,68,1
50.5833,13.6833,245,120,510,8,,4,2.85,,,68,1
50.7167,13.765,,169,730,57,25,18,2.75,24,8.67,68,1
50.6283,13.95,269,500,550,,18,2,3.81,,,68,1
50.6283,13.95,269,500,550,,,2,,,,68,1
47.7667,18.1,110,0,1700,18,38,15,1.76,,,67,1
48.665,18.685,824,70,1120,62,35,7,2.04,,,67,1
48.4383,17.6267,161,0,3000,31,33,,2.01,,,67,1
50.3167,14.9117,221,50,270,,32,3,2.09,,,67,1
50.5417,16.055,569,400,1200,,24,7,2.77,,,67,1
48.1667,18.0667,130,0,1100,12,39,,1.69,,,66,
49.5317,18.235,459,1000,1600,,36,12,2.28,,,66,1
49.6017,18.2533,383,1900,2200,,23,,2.89,,,66,1
48.5583,17.185,,,,,,,,,,66,
50.5033,16.13,,,,,,,,,,66,
48.8917,20.57,688,120,1040,,20,9,3.32,,,65,1
47.75,18.1333,110,0,1000,11,44,,1.48,,,65,1
48.1667,18.0667,130,0,647,8,39,,1.68,,,65,
48.6333,17.15,210,0,2571,26,37,11,1.77,,,65,1
49.51,18.2,478,1000,1400,,30,10,2.7,,,65,1
49.5083,18.34,526,100,1300,,23,19,2.93,,,65,1
48.6483,20.25,322,70,1360,,16,17,3.86,,,65,1
48.9867,16.7683,331,620,2040,,27,9,2.32,,,64,1
47.8467,18.365,253,0,1670,18,32,,1.99,,,64,1
50.5,16.13,555,90,1050,,25,11,3.5,,,64,
49.46,18.425,548,800,2500,,25,4,2.97,,,64,1
48.5667,17.2,230,4400,6000,32,20,9,3.15,,1.68,64,
50.5267,16.0883,547,400,930,,25,10,2.55,,,64,1
50.3183,15.47,248,70,860,,29,1,2.55,,,63,1
48.2317,17.2733,133,0,1197,13,40,8,1.59,,,63,1
50.36,14.5483,234,120,240,,29,6,2.18,,,63,1
50.2233,14.085,287,100,788,,30,10,2.08,,,63,1
50.5717,14.8567,335,300,700,,28,3,2.26,,,63,1
48.3817,16.9867,150,748,2163,,41,4,2.19,,,62,1
50.2667,15.4117,241,50,650,,36,5,2.56,,,62,1
49.5467,18.275,43,1000,1900,,32,12,2.4,,,62,1
49.7933,18.5833,281,1000,1400,,29,8,2.55,,,62,1
49.5317,18.5183,670,100,1900,,22,16,2.33,,,62,1
49.65,14.0167,574,1270,1530,27,22,8,2.79,,,62,1
49.9567,14.26,406,130,248,,21,,,,,62,1
50.0883,15.1133,193,30,100,,29,1,2.13,,,62,1
50.255,14.09,244,100,960,,29,,,,,62,1
50.2767,14.095,255,100,1150,,29,,,,,62,1
50.275,14.13,234,100,1170,,29,7,2.16,,,62,1
50.2567,14.1483,252,100,925,,28,19,2.17,,,62,1
50.51,16.1483,566,200,945,,24,12,2.5,,,61,1
48.0567,17.1583,132,406,1493,109,42,10,1.45,,,61,1
48.49,17.5967,197,0,2780,29,29,,2.08,,,61,1
50.6833,14.2,130,30,330,31,27,12,2.14,,,61,1
49.7333,12.8833,480,80,470,40,15,12,4.13,,,61,1
49.3117,14.9817,,70,220,16,24,10,2.53,13,3.3,61,1
49.8067,12.675,,100,130,4,28,5,2.17,7,3.41,60,
48.3167,20.2833,165,0,480,48,29,9,2.1,,,60,
50.7333,14.3167,210,50,1100,,28,16,2.22,,,60,1
50.2667,14.1333,212,100,1150,106,27,22,2.21,,,60,1
49.7717,12.6733,,50,190,15,22,5,2.79,11,2.12,60,
50.3367,14.5167,254,60,340,,27,7,2.18,,,60,1
48.9683,16.6783,193,500,1110,,26,9,2.31,,,60,1
50.54,16.0633,600,300,900,,21,10,2.8,,,59,1
49.5217,18.2,458,600,800,,27,10,1.96,,,59,1
50.25,14.0667,292,300,1000,70,26,12,2.24,,,59,1
50.45,13.9,240,80,330,,20,13,3.07,,,59,1
50.375,12.775,893,10,220,22,19,5,3.07,,,59,1
49.34,17.6883,381,750,1950,,31,11,2.14,,,59,1
49.6867,13.9967,550,60,1500,16,18,14,3.11,,,59,1
49.145,16.9933,230,280,790,,25,8,2.54,,,58,1
48.3333,20.2833,170,0,902,10,30,16,1.93,,,58,
49.77,12.6767,,80,520,45,23,16,2.5,36,2.39,58,
50.8667,14.5833,450,70,660,32,18,7,3.28,,,58,1
49.7717,12.6933,516,20,350,34,,12,2.61,,,58,
49.8167,12.6633,513,100,653,66,24,41,2.33,65,3.14,57,1
48.925,16.9067,314,800,3440,,22,22,2.27,,,57,1
49.205,17.33,282,490,1200,95,33,9,1.42,,,56,1
48.3917,17.005,173,546,2342,,37,,1.5,,,56,1
49.8,12.6667,,,,,,,,,3.03,56,
49.5583,14.8283,419,400,650,,25,4,2.21,230,0.39,56,1
49.51,18.1583,678,1100,1200,,25,5,2.73,,,55,1
49.8833,12.65,507,40,249,22,23,7,2.24,,2.04,55,1
50.2667,14.1,244,800,1080,28,22,14,2.46,,,55,1
49.8183,17.3833,613,100,2360,,20,45,2.77,,,55,1
49.16,16.8633,227,1080,1220,,12,15,3.58,,,55,1
49.2183,17.3867,296,100,1260,,28,7,1.97,,,54,1
48.5617,17.185,233,267,1486,,39,,1.4,,,54,1
50.2667,13.395,263,100,1300,,26,26,1.79,,,54,1
49.0933,16.7417,190,300,2190,,24,10,2.57,,,54,1
49.75,12.7667,485,50,310,27,19,13,2.65,,,54,1
49.7683,12.6967,510,10,160,16,,11,2.67,,,54,
49.5517,14.255,527,130,330,6,20,4,2.76,65,8.96,54,1
48.785,16.9717,172,185,1489,,35,,1.5,,,53,1
49.4,12.7833,473,20,430,42,19,9,2.75,,,53,1
50.285,13.4433,249,200,750,,26,20,2.05,,,53,1
49.0333,19.5667,710,200,1700,151,20,17,2.53,,,52,1
50.415,13.9567,217,100,1060,,23,11,2.43,,,51,1
49.8517,12.635,,60,140,9,21,6,2.67,16,1.71,51,1
49.2717,17.33,284,660,1420,,30,10,1.8,,,51,1
48.995,16.7667,339,300,830,93,26,13,2.09,,,51,1
49.0817,17.0333,,180,950,,21,2,2.28,,,51,1
49.8,12.6667,,180,1052,,,17,2.12,26,3.69,50,
48.4767,17.1733,191,550,1850,,32,,1.5,,,49,1
48.8917,16.6117,169,1000,1250,120,28,9,2.13,,,49,1
50.0833,16.7167,532,480,610,14,27,6,1.81,,,49,1
49.115,16.7533,243,50,700,,22,1,3.22,,,48,1
49.7167,14.05,521,42,465,43,17,8,2.88,,,48,1
48.895,14.3183,511,10,690,68,18,30,2.69,172,0.63,48,1
48.645,16.9817,153,597,3830,,27,11,1.99,,,47,1
49.5183,18.2333,510,1000,1200,,18,3,3.48,,,47,1
49.385,14.795,440,120,760,,20,9,2.31,,,47,1
49.0517,16.9633,221,340,2760,,22,16,2.13,,,46,1
48.8533,16.605,195,250,1150,,30,1,1.31,,,46,1
48.8917,20.9083,785,40,750,,20,10,2.31,,,46,1
49.0717,16.9433,388,340,1620,,24,12,2.68,,,45,1
48.6583,17.1517,233,140,1798,,32,,1.4,,,45,1
50.1167,12.7333,759,40,300,28,17,7,2.56,,,45,1
48.4467,17.02,160,583,3004,,30,7,2.33,,,44,1
49.7492,16.4145,510,120,235,24,28,8,1.62,,,44,1
49.0217,16.7317,202,500,870,16,26,9,2.71,,,44,1
49.5367,15.7333,547,20,280,,17,9,2.5,,,43,1
48.8067,16.5983,435,120,2040,,25,7,2.04,,,42,1
49.0417,17.145,289,150,2050,,21,4,2.81,,,42,1
49.45,16.1983,,80,190,12,14,11,3.01,29,2.05,41,
48.5583,17.1183,190,875,3044,,27,7,2.7,,,41,1
49.4567,16.1967,,,,,,,,,,39,
50.1833,17.4,660,50,770,73,15,18,2.54,,,38,
49.465,16.195,,80,310,24,15,14,2.41,9,2.08,36,
50.1917,17.4083,645,50,230,19,12,7,2.66,,,34,
49.6,14.0667,,100,280,19,14,3,2.42,,3.15,34,1
49.6533,14.0867,,100,270,18,16,10,1.92,12,3.36,31,1
49.4667,16.2,500,780,1460,69,16,12,2.03,,,31,1
49.7138,16.3278,606,50,130,9,14,8,1.84,,,26,1
50.2,17.4,695,70,320,27,,17,2.41,,,25,
49.7345,16.364,572,90,170,9,15,11,1.6,,,24,1
49.4,16.3,435,20,180,17,12,12,2.12,,,24,1
49.4167,16.1967,,,,,,,,,7.19,22,
49.06,16.7583,205,100,1540,,24,,,,,,
49.0783,17.525,329,600,1720,,,16,3.06,,,,
48.895,16.6067,169,890,1700,,,11,2.37,,,,
31.4775,35.4625,-323,,,,38,,0.67,,,,1
31.7467,35.5344,-120,,,,32,,0.85,,,,1
31.4503,35.5158,-334,,,,31,,0.68,,,,1
31.4511,35.5106,-320,,,,30,,0.63,,,,1
31.4881,35.4625,-325,,,,30,,0.63,,,,1
31.745,35.5517,-140,,,,29,,0.84,,,,1
31.5467,35.5433,-110,,,,28,,0.83,,,,1
31.7317,35.5433,-181,,,,25,,0.87,,,,1
31.7333,35.52,-188,,,,23,,0.73,,,,1
31.7503,35.5194,-100,,,,21,,0.84,,,,1
57.1333,9.8,,,1517,,42,,2.43,,,101,1
55.75,8.85,,,1647,,36,,2.43,,,87,1
56.55,10.0167,,,3036,,35,,2.43,,,86,1
56.65,8.5667,,,1240,,35,,2.43,,,86,1
57.0333,8.7167,,,908,,33,,2.43,,,80,1
55.9075,4.1453,-53,,4273,4,,,,,,78,
56.7813,9.3638,18,1950,1962,24,,14,,,,76,
54.782,11.9838,2,,2567,3,,,,,,75,
55.037,9.5922,22,,2220,3,,,,,,72,
55.0425,8.9512,13,,2704,3,,,,,,72,
55.3672,5.322,-43,,3194,2,,,,,,72,
55.8022,4.572,-42,,2646,2,,,,,,72,
56.0528,4.25,-57,,3800,4,,,,,,72,
56.5303,9.2989,12,0,1048,,34,,2.05,,,71,1
56.7955,9.5095,39,1925,2480,62,,61,,,,71,
56.3839,10.2669,30,0,1272,,33,,2.12,,,70,1
55.5158,6.9217,-30,,3751,2,,,,,,69,
56.6272,9.0031,21,0,1054,,33,,2.05,,,68,1
55.5847,5.1628,-49,,3713,2,,,,,,66,
56.0917,4.1042,-60,,3624,1,,,,,,66,
56.2528,5.2478,-55,,2598,1,,,,,,66,
55.3667,11.3333,,,2972,,27,,2.43,,,65,1
56.0345,3.7695,-66,,3370,2,,,,,,65,
56.2158,6.8962,-37,,2619,2,,,,,,64,
54.6667,11.4,,,2720,,26,,2.43,,,63,1
56.3038,10.435,19,,5293,3,,,,,,63,
56.5603,8.5695,2,,3537,3,,,,,,63,
54.75,12,,,2564,,26,,2.43,,,62,1
55.05,9.3667,,,2342,,25,,2.43,,,61,1
56.3667,10.6167,,,1058,,25,,2.43,,,61,1
