Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites
42.6332,-114.4613,1112,28,119,,53,1,1.63,,,,
42.6223,-113.5003,1304,115,58,,50,1,1.38,,,,
43.9667,34.9833,-2194,,,,,,,,,34,
42.662,-113.4555,1200,10,236,,93,1,1.42,,,,
42.6427,-113.2292,1292,10,110,,58,1,1.51,,,,
42.6327,-112.9265,1371,0,215,,87,,1.51,,,,
42.5178,-113.3628,1346,20,290,,80,1,1.76,,,,
42.5318,-112.8977,1513,25,205,,121,,1.51,,,,
35.5833,-61.1333,-4590,,4,2,62,,0.8,,,50,1
42.5395,-112.8857,1478,10,240,,81,,1.51,,,,
52.5383,-132.3117,-1780,,,,70,,1.06,,,74,1
35.5833,-61.25,-4680,,4,2,68,,0.8,,,55,1
42.433,-114.4015,1261,10,105,,54,1,1.46,,,,
51.3,-29.5833,-3260,,4,2,370,,0.71,,,260,1
52.5417,-132.3117,-1760,,,,65,,1.06,,,69,1
42.4362,-114.2227,1276,10,115,,48,1,1.63,,,,
53.8833,-24.0833,-3350,,4,2,73,,0.88,,,65,1
52.5483,-132.2983,-1774,,,,53,,1.06,,,56,1
42.4217,-114.1075,1293,10,120,,88,,1.63,,,,
52.5783,-132.27,-1750,,,,63,,1.06,,,67,1
-0.9833,-38.1667,-4137,,7,2,66,,0.97,,,64,1
42.4778,-113.99,1318,75,145,,49,8,2.05,,,,
52.6133,-132.1633,-1925,,,,82,,0.8,,,66,1
0.2,-39.9,-4111,,13,2,48,1,0.93,,,45,1
42.4175,-113.9102,1313,10,140,,44,1,1.88,,,,
52.405,-131.935,-2040,,,,107,,0.72,,,77,1
2.5,-40.9167,-4285,,12,2,63,1,0.92,,,58,1
42.4228,-113.3978,1344,10,120,,155,1,1.09,,,,
5.0667,-41.0167,-4544,,11,2,83,1,0.93,,,78,1
52.1733,-131.7233,-2103,,,,91,,0.72,,,66,1
42.3542,-114.6532,1380,30,230,,39,,1.46,,,,
6.9833,-41.0667,-4636,,13,2,90,1,0.94,,,85,1
52.1583,-131.7733,-2048,,,,111,,0.72,,,80,1
42.3597,-114.683,1377,25,155,,45,1,2.01,,,,
52.1567,-132.0283,-2846,,,,294,,0.84,,,247,1
10.75,-41.35,-5002,,7,2,151,1,0.93,,,141,1
42.4103,-114.194,1304,30,100,,66,8,2.05,,,,
51.965,-131.53,-2040,,,,115,,0.9,,,104,1
14.2333,-57.1,-5002,,3,1,73,1,0.92,,,67,1
42.4102,-114.0582,1309,20,190,,27,8,2.03,,,,
51.95,-131.5467,-2095,,,,142,,0.9,,,128,1
20.8167,-66.4167,-5227,,9,2,68,6,0.93,,,64,1
42.4067,-114.1035,1320,40,100,,78,1,1.26,,,,
51.8,-131.2533,-1886,,,,109,,0.9,,,98,1
23.2333,-66.6,-5605,,10,2,61,,0.93,,,57,1
42.3507,-114.0668,1427,15,120,,41,8,2.06,,,,
52.22,-132.145,-2850,,,,322,,0.84,,,270,1
21.5667,-67.1,-5115,,11,3,75,,0.93,,,70,1
42.4095,-113.9505,1329,60,280,,65,8,2.03,,,,
52.22,-132.1367,-2850,,,,315,,0.84,,,265,1
19.8333,-65.8833,-7934,,8,2,52,,0.93,,,49,1
42.3408,-114.0438,1396,40,95,,69,8,2.03,,,,
52.2667,-132.0983,-2825,,,,169,,0.85,,,144,1
32.5833,-74.4,-4521,,8,4,46,,0.93,,,43,1
42.3382,-114.048,1417,20,100,,60,8,2.03,,,,
52.2683,-132.0933,-2825,,,,161,,0.83,,,134,1
32.7833,-74.8167,-4462,,9,5,47,6,0.93,,,44,1
42.3868,-113.5877,1504,10,177,,60,,1.3,,,,
52.2683,-132.09,-2825,,,,166,,0.84,,,139,1
38.15,142.9667,-1710,,2,2,13,16,0.88,,,11,1
42.3137,-114.656,1395,10,96,,68,1,1.34,,,,
52.3417,-131.985,-1900,,,,85,,0.9,,,77,1
38.6,49.5,,,,2,,,,,,54,
37.9833,143.9833,-7345,,1,2,54,11,0.88,,,48,1
42.3107,-114.5657,1410,5,70,,95,,1.34,,,,
38.2,147.9167,-5631,,2,2,105,,0.82,,,86,1
52.34,-131.9867,-1900,,,,93,,0.9,,,84,1
42.3167,-114.0242,1426,10,110,,61,8,2.05,,,,
52.3333,-131.9883,-1900,,,,124,,0.9,,,111,1
33.2167,-118.6,-1300,,2,2,100,,0.75,,,75,1
42.282,-114.0103,1695,30,115,,60,8,2.05,,,,
36.6667,-123.05,-3320,,2,2,110,,0.84,,,92,1
42.2122,-114.7885,1585,15,40,,41,,1.38,,,,
36.65,-123.2667,-3470,,2,2,110,,0.88,,,96,1
42.1892,-114.6647,1522,10,92,,193,1,1.5,,,,
36.5667,-123.6833,-3770,,2,2,110,,0.88,,,96,1
42.184,-114.6723,1522,10,66,,178,1,1.09,,,,
44.2833,-138.6,-4220,,2,2,45,,0.92,,,42,1
42.1825,-114.703,1516,20,52,,224,,1.09,,,,
48.3333,-157.3667,-5220,,2,2,25,,0.84,,,21,1
42.1118,-114.6123,1707,25,330,,54,1,1.8,,,,
52.55,-175.15,-3240,,2,2,59,,0.71,,,42,1
44.6167,-111.3173,2024,40,62,,4,,1.46,,,5,
44.6167,-111.3173,2024,5,30,,-53,,1.13,,,-59,
54.2833,-176.25,-3740,,2,2,60,,0.63,,,38,1
44.3535,-111.2762,1914,23,33,,8,,1.46,,,11,
55.6833,-177.6667,-4160,,2,2,81,,0.67,,,54,1
44.2928,-111.823,1916,20,50,,9,,1.46,,,13,
56.0833,-176.1667,-3690,,2,2,69,,0.67,,,46,1
44.3142,-111.7375,2032,20,60,,6,,1.46,,,8,
56.2167,-176.3,-3670,,2,2,62,,0.67,,,42,1
44.217,-111.8922,1827,60,200,,15,,1.46,,,21,
44.217,-111.8922,1827,20,60,,8,,1.46,,,11,
44.1868,-111.4423,1887,50,66,,20,,1.46,,,30,
53.3833,-163.3333,-4230,,2,2,21,,0.79,,,17,1
44.1868,-111.4423,1887,20,50,,-25,,1.46,,,-36,
54.1333,-156.8667,-5680,,2,2,142,,0.79,,,113,1
44.1415,-111.8608,1725,50,260,,7,,1.46,,,10,
57.1833,-149.6333,-2950,,2,2,55,,0.84,,,46,1
44.1308,-111.7752,1682,190,220,,17,,1.46,,,25,
44.1308,-111.7752,1682,10,190,,7,,1.46,,,10,
57.5667,-147.6167,-4880,,2,2,50,,1,,,50,1
44.0967,-111.2537,1728,10,33,,13,,1.46,,,22,
59.0833,-145.0833,-4220,,2,2,92,,1,,,92,1
44.0162,-111.4935,1465,25,120,,30,,1.46,,,44,
